IDs,length,Exptl.,resolution,R-factor,FreeRvalue
4JZ5A,223,XRAY,1.1,0.14,0.14
4JZCA,218,XRAY,1.9,0.23,0.25
4JZEL,55,XRAY,1.52,0.2,0.21
4JZUA,158,XRAY,1.7,0.18,0.21
4JZXA,362,XRAY,1.8,0.18,0.23
4K00A,141,XRAY,1.9,0.17,0.2
4K02A,159,XRAY,1.9,0.18,0.21
4K05A,399,XRAY,1.65,0.15,0.18
4K08A,153,XRAY,2,0.2,0.24
4K0DA,152,XRAY,1.997,0.2,0.25
4K0NA,243,XRAY,1.25,0.15,0.17
4K12A,64,XRAY,1.079,0.15,0.17
4K12B,84,XRAY,1.079,0.15,0.17
4K22A,365,XRAY,2,0.16,0.2
4K29A,295,XRAY,1.66,0.18,0.2
4K2DA,200,XRAY,1.9,0.16,0.19
4K2EA,112,XRAY,1.8,0.19,0.24
4K2MA,443,XRAY,1.71,0.15,0.19
4K2NA,281,XRAY,2,0.23,0.21
4K2PA,276,XRAY,1.98,0.19,0.24
4K36A,392,XRAY,1.619,0.18,0.2
4K3FA,240,XRAY,1.6,0.15,0.18
4K3LA,366,XRAY,1.5,0.22,0.26
4K3ZA,331,XRAY,1.95,0.19,0.23
4K4KA,282,XRAY,1.67,0.19,0.22
4K4OA,215,XRAY,1.3,0.18,0.2
4K55A,124,XRAY,1.91,0.19,0.26
4K5SA,536,XRAY,1.9,0.18,0.22
4K6NA,383,XRAY,1.9,0.17,0.2
4K70A,500,XRAY,2,0.17,0.22
4K73A,274,XRAY,1.65,0.2,0.23
4K7BA,124,XRAY,1.55,0.19,0.2
4K7CA,446,XRAY,1.66,0.18,0.21
4K7JA,379,XRAY,1.968,0.17,0.23
4K7ZA,467,XRAY,1.5,0.18,0.21
4K82A,217,XRAY,1.6,0.19,0.24
4K84A,215,XRAY,1.897,0.17,0.21
4K89A,301,XRAY,1.39,0.17,0.19
4K8GA,422,XRAY,1.25,0.14,0.15
4K8LA,344,XRAY,1.9,0.17,0.21
4K8WA,129,XRAY,1.67,0.19,0.21
4K8YA,223,XRAY,1,0.15,0.17
4K90A,389,XRAY,1.8,0.17,0.2
4K90B,215,XRAY,1.8,0.17,0.2
4K9QA,539,XRAY,1.598,0.16,0.19
4K9ZA,168,XRAY,1.8,0.2,0.25
4KA8A,714,XRAY,1.9,0.19,0.22
4KALA,352,XRAY,1.5,0.16,0.19
4KAMA,453,XRAY,2,0.16,0.2
4KAVA,335,XRAY,1.433,0.12,0.16
4KBXA,388,XRAY,1.599,0.17,0.2
4KCTB,499,XRAY,1.95,0.15,0.18
4KDLB,90,XRAY,1.81,0.18,0.21
4KDSA,386,XRAY,1.668,0.17,0.22
4KDWA,123,XRAY,1.35,0.13,0.17
4KDXA,229,XRAY,1.35,0.15,0.17
4KE2A,196,XRAY,1.8,0.2,0.25
4KEFA,143,XRAY,1.098,0.13,0.14
4KEMA,390,XRAY,1.3,0.17,0.19
4KEZA,314,XRAY,1.85,0.15,0.19
4KFUA,212,XRAY,1.892,0.19,0.23
4KG3A,146,XRAY,1.7,0.18,0.21
4KG7A,381,XRAY,1.5,0.15,0.18
4KGDA,603,XRAY,1.06,0.13,0.15
4KH7A,230,XRAY,1.5,0.17,0.19
4KH8A,318,XRAY,1.6,0.14,0.17
4KH9A,374,XRAY,2,0.2,0.22
4KI9A,163,XRAY,2,0.17,0.21
4KIAA,167,XRAY,1.75,0.19,0.24
4KIEA,279,XRAY,1.7,0.17,0.18
4KJMA,129,XRAY,2,0.19,0.23
4KK7A,395,XRAY,1.68,0.18,0.21
4KKRA,241,XRAY,2,0.16,0.19
4KL0A,379,XRAY,1.598,0.2,0.23
4KLIA,335,XRAY,1.597,0.19,0.22
4KLKA,180,XRAY,1.93,0.21,0.25
4KLXA,179,XRAY,1.23,0.18,0.24
4KM6A,208,XRAY,1.55,0.17,0.2
4KMDA,444,XRAY,1.7,0.2,0.22
4KMFA,62,XRAY,1.7,0.17,0.23
4KMGA,88,XRAY,1.4,0.12,0.18
4KMRA,280,XRAY,1.45,0.13,0.18
4KMSA,249,XRAY,2,0.17,0.21
4KN5A,253,XRAY,1.7,0.18,0.21
4KN8A,267,XRAY,1.502,0.19,0.21
4KNDA,112,XRAY,1.9,0.18,0.22
4KNKA,225,XRAY,1.124,0.12,0.14
4KNUA,285,XRAY,1.8,0.17,0.21
4KOAA,333,XRAY,1.93,0.16,0.21
4KOPA,177,XRAY,1.75,0.18,0.22
4KOQA,180,XRAY,1.85,0.19,0.23
4KP1A,445,XRAY,1.8,0.22,0.25
4KQ7A,374,XRAY,1.62,0.14,0.16
4KQ9A,299,XRAY,1.9,0.2,0.23
4KQCA,319,XRAY,1.62,0.15,0.19
4KQDA,121,XRAY,1.55,0.16,0.18
4KQIA,356,XRAY,1.4,0.17,0.2
4KQPA,232,XRAY,0.95,0.12,0.12
4KRDB,207,XRAY,1.952,0.2,0.24
4KRGA,466,XRAY,1.68,0.12,0.14
4KRUA,229,XRAY,1.37,0.17,0.19
4KS7A,292,XRAY,1.4,0.2,0.22
4KSNA,78,XRAY,1.86,0.19,0.23
4KT3A,177,XRAY,1.436,0.15,0.17
4KT3B,137,XRAY,1.436,0.15,0.17
4KT6A,259,XRAY,1.71,0.2,0.23
4KT6B,161,XRAY,1.71,0.2,0.23
4KTBA,194,XRAY,1.936,0.18,0.22
4KTPA,769,XRAY,1.9,0.17,0.21
4KTWA,161,XRAY,1.68,0.2,0.24
4KU0A,96,XRAY,1.15,0.14,0.17
4KU0D,96,XRAY,1.15,0.14,0.17
4KU4A,206,XRAY,1.6,0.19,0.22
4KUIA,224,XRAY,1.85,0.17,0.2
4KUJA,288,XRAY,1.99,0.21,0.24
4KUKA,146,XRAY,1.5,0.13,0.18
4KUNA,91,XRAY,1.95,0.19,0.25
4KV2B,92,XRAY,1.88,0.19,0.24
4KV7A,381,XRAY,1.2,0.15,0.16
4KV9A,412,XRAY,1.93,0.18,0.22
4KVFA,342,XRAY,1.722,0.18,0.21
4KVGB,260,XRAY,1.65,0.2,0.22
4KVXA,156,XRAY,2,0.18,0.22
4KWAA,195,XRAY,1.8,0.2,0.26
4KWDA,314,XRAY,1.857,0.19,0.23
4KWHA,263,XRAY,1.7,0.15,0.18
4KXQA,281,XRAY,1.849,0.17,0.19
4KXQB,30,XRAY,1.849,0.17,0.19
4KXVA,637,XRAY,0.97,0.1,0.11
4KYPA,84,XRAY,1.7,0.2,0.23
4KYQA,208,XRAY,1.64,0.16,0.2
4KYXA,149,XRAY,1.8,0.21,0.26
4KZKA,337,XRAY,1.5,0.17,0.19
4KZPA,320,XRAY,1.68,0.18,0.2
4L00A,304,XRAY,1.8,0.17,0.2
4L05A,154,XRAY,1.098,0.11,0.12
4L07B,208,XRAY,1.75,0.2,0.22
4L0CE,255,XRAY,1.65,0.19,0.21
4L0FA,446,XRAY,1.9,0.18,0.22
4L0JA,287,XRAY,1.85,0.18,0.23
4L0MA,259,XRAY,1.7,0.23,0.27
4L0NA,51,XRAY,1.4,0.16,0.21
4L1FA,383,XRAY,1.79,0.15,0.18
4L1JA,204,XRAY,1.824,0.18,0.2
4L2HA,477,XRAY,1.46,0.14,0.18
4L2IA,346,XRAY,1.45,0.15,0.21
4L2IB,263,XRAY,1.45,0.15,0.21
4L3UA,139,XRAY,1.95,0.18,0.2
4L4EA,415,XRAY,1.261,0.19,0.21
4L4QA,405,XRAY,2,0.19,0.24
4L4VA,271,XRAY,1.9,0.18,0.21
4L51A,266,XRAY,1.9,0.17,0.2
4L57A,195,XRAY,1.08,0.14,0.18
4L58A,69,XRAY,1.48,0.13,0.14
4L5EA,46,XRAY,1.34,0.18,0.21
4L5RC,198,XRAY,1.873,0.2,0.23
4L63A,266,XRAY,1.8,0.18,0.2
4L68A,340,XRAY,2,0.19,0.21
4L6DA,335,XRAY,1.449,0.15,0.17
4L6HA,789,XRAY,1.75,0.19,0.23
4L6WA,493,XRAY,1.95,0.18,0.24
4L7GA,409,XRAY,1.38,0.16,0.19
4L7NA,357,XRAY,1.8,0.16,0.2
4L7XA,63,XRAY,1.35,0.14,0.14
4L82A,168,XRAY,2,0.18,0.23
4L8AA,162,XRAY,1.2,0.13,0.16
4L8IA,115,XRAY,2,0.21,0.25
4L8PA,187,XRAY,1.6,0.15,0.18
4L9AA,292,XRAY,2,0.17,0.2
4L9BA,393,XRAY,1.75,0.17,0.2
4L9DA,88,XRAY,1.1,0.11,0.14
4L9EA,139,XRAY,1.65,0.2,0.22
4L9HA,160,XRAY,2,0.2,0.23
4L9NA,145,XRAY,1.6,0.19,0.22
4L9OA,349,XRAY,1.6,0.17,0.2
4L9UA,56,XRAY,1.601,0.2,0.23
4LA2A,198,XRAY,1.6,0.2,0.22
4LA9A,254,XRAY,1.3,0.16,0.19
4LANA,376,XRAY,1.75,0.16,0.18
4LB0A,348,XRAY,1.7,0.16,0.19
4LBAA,137,XRAY,1.7,0.17,0.19
4LBHA,100,XRAY,1.75,0.19,0.22
4LC3A,391,XRAY,1.6,0.11,0.15
4LCIL,117,XRAY,1.9,0.18,0.23
4LCLA,433,XRAY,1.8,0.17,0.19
4LD1A,184,XRAY,1.44,0.15,0.18
4LD6A,117,XRAY,1.7,0.17,0.2
4LDCA,149,XRAY,1.264,0.13,0.14
4LDVA,362,XRAY,1.45,0.21,0.24
4LE1A,139,XRAY,1.951,0.19,0.22
4LE3A,252,XRAY,1.8,0.18,0.22
4LE5A,430,XRAY,1.7,0.22,0.26
4LEBA,300,XRAY,1.4,0.14,0.18
4LERA,469,XRAY,1.42,0.14,0.17
4LEUA,257,XRAY,2,0.21,0.25
4LF0A,348,XRAY,1.1,0.13,0.14
4LFGA,290,XRAY,1.76,0.15,0.18
4LFLA,162,XRAY,1.65,0.22,0.24
4LFLB,172,XRAY,1.65,0.22,0.24
4LFTA,73,XRAY,1.7,0.2,0.22
4LG1A,224,XRAY,1.8,0.2,0.22
4LG8A,354,XRAY,1.89,0.16,0.2
4LGJA,271,XRAY,1.55,0.17,0.19
4LGOA,136,XRAY,1.7,0.17,0.19
4LGTA,255,XRAY,1.3,0.17,0.2
4LGYA,1305,XRAY,1.48,0.14,0.17
4LH6A,323,XRAY,1.65,0.22,0.25
4LHDA,983,XRAY,1.796,0.16,0.19
4LHSA,343,XRAY,1.4,0.13,0.16
4LIHA,504,XRAY,1.85,0.19,0.23
4LIJA,90,XRAY,1.8,0.17,0.2
4LIKA,392,XRAY,1.7,0.18,0.2
4LIMA,391,XRAY,1.63,0.16,0.19
4LIXA,727,XRAY,1.548,0.17,0.2
4LIZA,142,XRAY,1.499,0.16,0.19
4LJ9A,339,XRAY,1.7,0.21,0.24
4LJIA,141,XRAY,1.508,0.22,0.25
4LJOA,223,XRAY,1.564,0.18,0.21
4LJRA,221,XRAY,1.8,0.2,0.24
4LJYA,493,XRAY,1.95,0.2,0.23
4LKPA,138,XRAY,1.67,0.18,0.21
4LKSA,167,XRAY,1.5,0.18,0.2
4LKUA,29,XRAY,1.45,0.17,0.23
4LLDA,111,XRAY,1.19,0.18,0.17
4LLDB,129,XRAY,1.19,0.18,0.17
4LLEA,130,XRAY,1.68,0.2,0.24
4LLOA,177,XRAY,1.995,0.17,0.2
4LLSA,311,XRAY,1.5,0.17,0.2
4LM6A,62,XRAY,1.7,0.16,0.2
4LM8A,700,XRAY,1.8,0.17,0.2
4LM9A,135,XRAY,1.601,0.23,0.27
4LMIA,139,XRAY,1.8,0.16,0.21
4LMPA,371,XRAY,1.95,0.19,0.23
4LMSA,80,XRAY,1.35,0.14,0.18
4LMSC,70,XRAY,1.35,0.14,0.18
4LMYA,163,XRAY,1.6,0.22,0.24
4LN9A,325,XRAY,1.82,0.21,0.25
4LOBA,347,XRAY,2,0.2,0.27
4LOOB,29,XRAY,1.95,0.24,0.25
4LOSA,187,XRAY,1.996,0.18,0.21
4LOWA,89,XRAY,1.3,0.2,0.2
4LOXA,302,XRAY,1.98,0.19,0.28
4LPLA,182,XRAY,1.35,0.19,0.21
4LPQA,207,XRAY,1.37,0.12,0.15
4LPSA,242,XRAY,2,0.17,0.2
4LPVA,99,XRAY,1.8,0.16,0.19
4LQ4A,211,XRAY,1.75,0.17,0.22
4LQ6A,218,XRAY,1.68,0.16,0.18
4LQBA,130,XRAY,1.72,0.14,0.18
4LQKC,143,XRAY,1.99,0.2,0.22
4LQZA,146,XRAY,1.92,0.2,0.24
4LR2A,401,XRAY,1.5,0.16,0.2
4LRJA,169,XRAY,1.619,0.16,0.19
4LRQA,155,XRAY,1.45,0.15,0.16
4LRTA,355,XRAY,1.5,0.15,0.17
4LRTB,323,XRAY,1.5,0.15,0.17
4LRUA,239,XRAY,1.6,0.16,0.18
4LSBA,294,XRAY,1.8,0.17,0.21
4LSCA,223,XRAY,1.529,0.17,0.18
4LSOA,179,XRAY,1.7,0.18,0.21
4LSWA,318,XRAY,1.64,0.25,0.25
4LTNA,197,XRAY,1.996,0.18,0.19
4LTTA,93,XRAY,1.28,0.18,0.21
4LTYC,354,XRAY,1.8,0.16,0.19
4LUAA,167,XRAY,1.6,0.18,0.21
4LUGA,180,XRAY,1.93,0.16,0.2
4LUKA,189,XRAY,1.41,0.15,0.21
4LUNU,316,XRAY,1.641,0.23,0.23
4LUPA,106,XRAY,1.2,0.15,0.17
4LUQC,144,XRAY,1.77,0.14,0.19
4LURA,309,XRAY,1.9,0.22,0.27
4LV5A,371,XRAY,1.7,0.19,0.23
4LV5B,423,XRAY,1.7,0.19,0.23
4LVFA,501,XRAY,1.5,0.17,0.17
4LVIA,198,XRAY,1.9,0.21,0.25
4LVUA,279,XRAY,1.25,0.12,0.14
4LW2A,404,XRAY,1.8,0.17,0.21
4LWLA,217,XRAY,1.6,0.2,0.22
4LWRA,196,XRAY,1.1,0.15,0.18
4LWSA,135,XRAY,2,0.19,0.24
4LWSB,103,XRAY,2,0.19,0.24
4LWUA,85,XRAY,1.14,0.22,0.23
4LX2A,392,XRAY,1.5,0.17,0.2
4LX2B,26,XRAY,1.5,0.17,0.2
4LX3A,108,XRAY,1.5,0.17,0.19
4LX3B,36,XRAY,1.5,0.17,0.19
4LX4A,330,XRAY,1.556,0.22,0.24
4LXJA,536,XRAY,1.9,0.2,0.23
4LXQA,274,XRAY,1.4,0.16,0.18
4LY1A,369,XRAY,1.57,0.17,0.19
4LY8A,306,XRAY,1.7,0.21,0.26
4LYPA,449,XRAY,1.28,0.12,0.15
4LYYA,199,XRAY,1.86,0.18,0.22
4LZGA,356,XRAY,1.599,0.18,0.2
4LZHA,285,XRAY,1.9,0.15,0.18
4LZKA,187,XRAY,1.89,0.18,0.21
4LZLA,124,XRAY,1.55,0.14,0.16
4LZXB,40,XRAY,1.5,0.15,0.19
4M02A,204,XRAY,1.59,0.17,0.2
4M0KA,199,XRAY,1.4,0.18,0.21
4M0NA,232,XRAY,1.65,0.18,0.22
4M0QA,230,XRAY,1.921,0.21,0.23
4M0WA,327,XRAY,1.4,0.16,0.18
4M16A,241,XRAY,1.85,0.17,0.21
4M1AA,126,XRAY,1.9,0.2,0.21
4M1BA,254,XRAY,1.99,0.17,0.21
4M1EA,297,XRAY,1.9,0.21,0.26
4M1GA,97,XRAY,1.6,0.2,0.23
4M1HA,366,XRAY,1.695,0.18,0.21
4M1QA,339,XRAY,1.6,0.18,0.2
4M1UA,297,XRAY,1.56,0.17,0.19
4M1XA,99,XRAY,1.3,0.12,0.14
4M20A,127,XRAY,2,0.18,0.22
4M23A,364,XRAY,1.76,0.19,0.23
4M2AA,505,XRAY,1.66,0.19,0.25
4M2MA,406,XRAY,1.58,0.18,0.2
4M32A,168,XRAY,1.86,0.18,0.21
4M37A,343,XRAY,1.7,0.15,0.18
4M3PA,406,XRAY,1.895,0.18,0.22
4M51A,427,XRAY,1.08,0.12,0.14
4M5BA,217,XRAY,1.833,0.18,0.2
4M5DA,1237,XRAY,1.97,0.21,0.24
4M5DB,297,XRAY,1.97,0.21,0.24
4M5EA,410,XRAY,1.49,0.18,0.2
4M5RA,241,XRAY,1.4,0.16,0.18
4M68A,283,XRAY,1.696,0.2,0.22
4M6BF,55,XRAY,1.78,0.23,0.22
4M6RA,224,XRAY,2,0.18,0.22
4M73A,337,XRAY,2,0.15,0.21
4M7GA,227,XRAY,0.81,0.11,0.12
4M7HA,226,XRAY,2,0.19,0.21
4M7RA,196,XRAY,1.801,0.19,0.23
4M7TA,270,XRAY,1.56,0.17,0.18
4M82A,399,XRAY,1.592,0.15,0.18
4M83A,415,XRAY,1.698,0.16,0.2
4M85A,186,XRAY,2,0.19,0.24
4M88A,357,XRAY,1.762,0.17,0.21
4M8AA,72,XRAY,1.502,0.17,0.2
4M8DA,263,XRAY,1.9,0.15,0.19
4M8IA,400,XRAY,1.43,0.17,0.21
4M8KA,236,XRAY,1.9,0.16,0.21
4M91A,161,XRAY,1.1,0.14,0.16
4M98A,208,XRAY,1.67,0.17,0.19
4M9DA,432,XRAY,1.821,0.15,0.18
4M9KA,247,XRAY,1.46,0.2,0.23
4M9PA,291,XRAY,1.72,0.2,0.24
4M9VC,64,XRAY,0.969,0.13,0.14
4MA5A,365,XRAY,1.809,0.17,0.22
4MAAA,403,XRAY,2,0.16,0.2
4MABA,186,XRAY,1.9,0.2,0.24
4MACA,97,XRAY,2,0.23,0.29
4MADA,600,XRAY,1.8,0.18,0.22
4MAEA,577,XRAY,1.6,0.16,0.19
4MAGA,307,XRAY,1.45,0.18,0.22
4MAIA,216,XRAY,1.4,0.13,0.15
4MAKA,94,XRAY,1.1,0.14,0.17
4MAMB,373,XRAY,1.474,0.16,0.18
4MAQA,240,XRAY,1.4,0.13,0.17
4MAXA,123,XRAY,1.444,0.17,0.19
4MB0A,261,XRAY,1.96,0.21,0.26
4MB1A,561,XRAY,1.4,0.17,0.2
4MBOA,340,XRAY,1.65,0.15,0.19
4MBYA,278,XRAY,1.48,0.17,0.19
4MC3A,346,XRAY,1.5,0.14,0.19
4MCHA,266,XRAY,1.73,0.17,0.2
4MCKA,201,XRAY,1.5,0.18,0.2
4MCOA,345,XRAY,1.6,0.15,0.18
4MDAA,225,XRAY,1.7,0.2,0.24
4MDCA,252,XRAY,1.78,0.16,0.19
4MDYA,295,XRAY,1.78,0.15,0.2
4ME2A,257,XRAY,1.6,0.21,0.24
4ME3A,268,XRAY,1.794,0.18,0.22
4MEAA,331,XRAY,1.95,0.15,0.19
4MESA,182,XRAY,2,0.18,0.21
4MEWA,356,XRAY,1.993,0.16,0.19
4MF4A,269,XRAY,2,0.17,0.21
4MF5A,256,XRAY,1.11,0.11,0.13
4MF9A,360,XRAY,1.95,0.2,0.23
4MFGA,168,XRAY,2,0.21,0.27
4MFIA,436,XRAY,1.5,0.14,0.16
4MFKA,345,XRAY,1.9,0.17,0.2
4MG4A,261,XRAY,1.7,0.16,0.19
4MGEA,116,XRAY,1.85,0.18,0.22
4MGQA,168,XRAY,1.68,0.18,0.21
4MHBA,297,XRAY,1.75,0.18,0.2
4MHPA,326,XRAY,1.1,0.17,0.19
4MHXA,510,XRAY,2,0.19,0.23
4MI5A,229,XRAY,2,0.2,0.26
4MI7A,140,XRAY,1.65,0.2,0.23
4MIFA,620,XRAY,1.8,0.15,0.17
4MIJA,337,XRAY,1.1,0.14,0.15
4MIKA,289,XRAY,1.951,0.18,0.23
4MIXA,336,XRAY,1.8,0.23,0.26
4MIYA,339,XRAY,1.42,0.19,0.21
4MJDA,113,XRAY,1.28,0.14,0.17
4MJEA,99,XRAY,1.2,0.18,0.2
4MJFA,263,XRAY,1.99,0.19,0.22
4MJKA,265,XRAY,1.953,0.2,0.22
4MK3A,226,XRAY,1.501,0.16,0.18
4MKOA,236,XRAY,1.7,0.18,0.2
4MKXA,355,XRAY,1.6,0.2,0.23
4ML1A,217,XRAY,1.978,0.19,0.24
4ML7B,99,XRAY,1.8,0.19,0.22
4ML9A,286,XRAY,1.841,0.15,0.18
4MLLA,251,XRAY,1.37,0.17,0.2
4MLMA,196,XRAY,1.7,0.17,0.2
4MLOA,276,XRAY,1.65,0.17,0.19
4MLVA,312,XRAY,1.455,0.14,0.19
4MLZA,330,XRAY,1.72,0.14,0.19
4MMGA,95,XRAY,1.5,0.17,0.19
4MMWA,405,XRAY,1.647,0.17,0.19
4MN5A,128,XRAY,2,0.22,0.25
4MN7A,149,XRAY,2,0.2,0.24
4MNCA,332,XRAY,1.05,0.13,0.14
4MNKA,348,XRAY,1.29,0.18,0.2
4MNNA,179,XRAY,1.8,0.19,0.23
4MNOA,115,XRAY,1.35,0.16,0.19
4MNRA,457,XRAY,1.653,0.17,0.18
4MNUA,153,XRAY,1.898,0.18,0.22
4MO2B,368,XRAY,2,0.17,0.21
4MO4A,371,XRAY,1.67,0.18,0.21
4MO7A,212,XRAY,1.701,0.19,0.23
4MO9A,369,XRAY,1.925,0.17,0.2
4MODA,129,XRAY,1.901,0.19,0.21
4MOWA,256,XRAY,1.95,0.16,0.2
4MP8A,339,XRAY,1.85,0.19,0.22
4MPOA,153,XRAY,1.9,0.21,0.25
4MPTA,380,XRAY,1.75,0.16,0.18
4MQ3A,132,XRAY,1.08,0.14,0.18
4MQBA,208,XRAY,1.55,0.14,0.2
4MQVB,26,XRAY,1.95,0.19,0.22
4MR0A,648,XRAY,1.95,0.22,0.22
4MRTC,90,XRAY,2,0.19,0.23
4MRUA,508,XRAY,1.9,0.14,0.18
4MS4A,420,XRAY,1.9,0.19,0.22
4MS4B,433,XRAY,1.9,0.19,0.22
4MSXA,482,XRAY,1.87,0.18,0.22
4MT2A,62,XRAY,2,0.2,1
4MT8A,102,XRAY,1.9,0.2,0.23
4MTHA,139,XRAY,1.47,0.19,0.21
4MTLA,244,XRAY,1.65,0.17,0.2
4MTMA,164,XRAY,1.368,0.1,0.13
4MTUA,144,XRAY,0.97,0.15,0.16
4MU9A,364,XRAY,1.89,0.15,0.19
4MUOA,328,XRAY,1.94,0.18,0.21
4MUPA,312,XRAY,1.6,0.15,0.18
4MUQA,255,XRAY,1.364,0.16,0.18
4MURA,211,XRAY,1.65,0.16,0.2
4MUVA,142,XRAY,1.25,0.14,0.17
4MUZA,229,XRAY,1.39,0.16,0.19
4MV4A,468,XRAY,1.61,0.16,0.18
4MVAA,279,XRAY,1.43,0.14,0.16
4MVFA,506,XRAY,2,0.2,0.23
4MVKA,188,XRAY,1.5,0.17,0.19
4MVNA,200,XRAY,1.7,0.17,0.21
4MWAA,276,XRAY,1.85,0.13,0.17
4MX2A,480,XRAY,1.9,0.22,0.25
4MX6A,346,XRAY,1.1,0.13,0.15
4MXNA,247,XRAY,1.95,0.18,0.21
4MXTA,190,XRAY,1.4,0.14,0.17
4MYDA,252,XRAY,1.374,0.13,0.17
4MYKA,316,XRAY,1.518,0.15,0.16
4MYMA,176,XRAY,1.9,0.22,0.22
4MYPA,122,XRAY,1.8,0.2,0.23
4MYVA,294,XRAY,1.801,0.19,0.23
4MYYA,85,XRAY,1.68,0.2,0.25
4MYZA,79,XRAY,1.5,0.18,0.2
4MZ7A,539,XRAY,1.8,0.2,0.23
4MZAA,437,XRAY,1.653,0.17,0.2
4MZCA,111,XRAY,0.949,0.1,0.11
4MZDA,488,XRAY,1.1,0.15,0.17
4MZGB,222,XRAY,1.698,0.18,0.21
4MZJA,145,XRAY,1.474,0.18,0.22
4MZVA,248,XRAY,1.865,0.2,0.25
4MZYA,494,XRAY,1.95,0.15,0.19
4N01A,337,XRAY,1.797,0.17,0.2
4N02A,357,XRAY,1.4,0.14,0.16
4N03A,405,XRAY,1.15,0.12,0.15
4N0HA,464,XRAY,1.952,0.19,0.22
4N0HB,325,XRAY,1.952,0.19,0.22
4N0HF,160,XRAY,1.952,0.19,0.22
4N0KA,108,XRAY,1.05,0.16,0.18
4N0NA,423,XRAY,2,0.2,0.22
4N0PA,151,XRAY,1.75,0.18,0.2
4N0RA,513,XRAY,1.8,0.15,0.18
4N0TA,374,XRAY,1.7,0.18,0.21
4N0VA,224,XRAY,1.7,0.2,0.22
4N13A,265,XRAY,1.3,0.14,0.16
4N18A,332,XRAY,1.97,0.18,0.22
4N1IA,334,XRAY,1,0.12,0.14
4N1LA,105,XRAY,1.986,0.18,0.22
4N1VA,100,XRAY,1.36,0.15,0.21
4N2KA,690,XRAY,1.57,0.18,0.21
4N2PA,143,XRAY,1.435,0.14,0.18
4N2XA,301,XRAY,1.7,0.14,0.17
4N30A,221,XRAY,1.3,0.2,0.22
4N3AB,26,XRAY,1.88,0.2,0.22
4N3TA,159,XRAY,1.4,0.15,0.19
4N3XA,51,XRAY,2,0.19,0.23
4N49A,428,XRAY,1.9,0.16,0.2
4N4FC,21,XRAY,1.83,0.21,0.24
4N4JA,500,XRAY,1.8,0.14,0.16
4N4PA,296,XRAY,1.8,0.17,0.21
4N4UA,326,XRAY,1.57,0.18,0.21
4N5HX,317,XRAY,1.71,0.14,0.17
4N5MA,270,XRAY,1.34,0.17,0.19
4N5QA,257,XRAY,1.946,0.17,0.2
4N5UA,117,XRAY,1.456,0.16,0.2
4N65A,212,XRAY,1.816,0.16,0.18
4N67A,227,XRAY,1.55,0.17,0.19
4N68A,113,XRAY,1.8,0.17,0.22
4N6AA,286,XRAY,1.75,0.18,0.21
4N6CA,183,XRAY,1.548,0.2,0.22
4N6DA,346,XRAY,1.701,0.15,0.18
4N6KA,351,XRAY,1.2,0.14,0.16
4N6OA,278,XRAY,1.8,0.21,0.23
4N6OB,131,XRAY,1.8,0.21,0.23
4N6QA,200,XRAY,1.79,0.18,0.22
4N6TA,79,XRAY,1.75,0.2,0.23
4N6XA,91,XRAY,1.051,0.15,0.16
4N73A,199,XRAY,1.866,0.22,0.25
4N77A,248,XRAY,1.999,0.17,0.23
4N7CA,176,XRAY,1.75,0.19,0.21
4N7FA,38,XRAY,1.102,0.18,0.2
4N7IA,190,XRAY,1.401,0.14,0.17
4N7JA,282,XRAY,1.673,0.16,0.18
4N7WA,307,XRAY,1.951,0.19,0.22
4N81A,259,XRAY,1.901,0.15,0.18
4N82B,178,XRAY,1.88,0.21,0.24
4N8CX,23,XRAY,1.6,0.2,0.24
4N8GA,352,XRAY,1.502,0.16,0.18
4N8NA,115,XRAY,1.874,0.19,0.23
4N91A,347,XRAY,1.7,0.15,0.17
4N9WA,390,XRAY,1.94,0.16,0.21
4NA1A,637,XRAY,1.95,0.21,0.24
4NAOA,326,XRAY,1.649,0.16,0.18
4NATA,160,XRAY,1.72,0.23,0.28
4NAZA,145,XRAY,1.15,0.14,0.16
4NB5A,171,XRAY,1.641,0.17,0.19
4NBIA,164,XRAY,1.86,0.17,0.19
4NBMD,377,XRAY,1.61,0.15,0.18
4NBPA,132,XRAY,1.315,0.15,0.18
4NBRA,273,XRAY,1.35,0.1,0.13
4NBTA,240,XRAY,1.48,0.13,0.15
4NBUA,250,XRAY,1.34,0.16,0.16
4NBXA,143,XRAY,1.75,0.2,0.23
4NC6A,314,XRAY,1.8,0.16,0.21
4NC7A,99,XRAY,2,0.24,0.26
4ND2A,321,XRAY,2,0.19,0.21
4NDAA,314,XRAY,1.7,0.18,0.22
4NDHA,182,XRAY,1.848,0.16,0.2
4NDOA,276,XRAY,1.35,0.16,0.18
4NDOB,270,XRAY,1.35,0.16,0.18
4NDSA,94,XRAY,0.997,0.11,0.12
4NE2A,334,XRAY,1.9,0.16,0.21
4NE3A,93,XRAY,1.801,0.23,0.25
4NE3B,74,XRAY,1.801,0.23,0.25
4NECA,264,XRAY,1.5,0.15,0.19
4NESA,374,XRAY,1.42,0.2,0.22
4NETA,361,XRAY,1.2,0.16,0.18
4NF0A,339,XRAY,1.85,0.2,0.24
4NF1A,150,XRAY,1.399,0.18,0.2
4NF2A,340,XRAY,1.74,0.15,0.17
4NFNA,309,XRAY,1.42,0.19,0.21
